make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
Suzuki,Cultus Auto Gear Shift,2019,81000,Petrol,1000,Automatic,Sheikhupura,3050000.0
Toyota,Hilux Revo Rocco,2023,29500,Diesel,2800,Automatic,Wazirabad,14000000.0
Suzuki,Mehran VXR Euro II,2013,112000,Petrol,796,Manual,Karachi,900000.0
Hyundai,Santro Club GV,2006,148000,Petrol,1100,Manual,Layyah,930000.0
Toyota,Vitz B S Edition 1.0,2008,125000,Petrol,1000,Automatic,Islamabad,1950000.0
Suzuki,Hustler J Style II,2022,24000,Hybrid,660,Automatic,Islamabad,3800000.0
Suzuki,Bolan Cargo Van Euro ll,2018,70000,Petrol,800,Manual,Lahore,1490000.0
Suzuki,Alto VXR,2024,8500,Petrol,660,Manual,Lahore,2850000.0
Honda,Civic 7th Generation (Facelift) EXi Prosmatec,2005,55000,Petrol,1500,Automatic,Lahore,3200000.0
Toyota,Prado TX L Package 2.7,2020,38000,Petrol,2700,Automatic,Karachi,33000000.0
Toyota,Passo X L Package,2014,125000,Petrol,1000,Automatic,Lahore,2725000.0
Toyota,Corolla GLi Automatic 1.3 VVTi,2018,80000,Petrol,1300,Automatic,Gujranwala,4200000.0
Toyota,Corolla GLi Automatic 1.3 VVTi,2015,122000,Petrol,1300,Automatic,Lahore,3850000.0
Toyota,Prado TX Limited 2.7,2012,71000,Petrol,2700,Automatic,Lahore,17000000.0
Suzuki,Mehran VXR,2009,43974,Petrol,800,Manual,Karachi,750000.0
Suzuki,Alto VXL AGS,2023,16300,Petrol,660,Automatic,Lahore,2975000.0
Audi,e-tron GT Standard,2022,13500,Electric,93,Automatic,Lahore,35500000.0
Toyota,Vitz,2015,92000,Petrol,1000,Automatic,Karachi,2800000.0
Suzuki,Mehran VXR,2008,80000,Petrol,800,Manual,Lahore,640000.0
Suzuki,Alto VXR,2021,35000,Petrol,660,Manual,Karachi,2320000.0
Toyota,Prado TX 2.7,2020,28000,Petrol,2700,Automatic,Gujranwala,27000000.0
BMW,5 Series 5th (E60) Generation 530d,2004,180000,Diesel,3000,Automatic,Multan,4200000.0
Suzuki,Cultus VXR,2023,18000,Petrol,1000,Manual,Mian Channu,3450000.0
Suzuki,Alto VXR,2004,150000,Petrol,1000,Manual,Karachi,800000.0
Honda,Civic Rebirth VTi Oriel 1.8 i-VTEC,2013,100000,Petrol,1800,Manual,Sialkot,3500000.0
Suzuki,Alto,2022,13913,Petrol,660,Automatic,Karachi,3700000.0
Daihatsu,Mira ES,2016,80000,Petrol,660,Automatic,Lahore,2295000.0
Daihatsu,Move Custom G,2013,80000,Petrol,660,Automatic,Lahore,2095000.0
Honda,Civic Rebirth Oriel Prosmatec UG,2013,177000,Petrol,1800,Automatic,Lahore,3400000.0
Honda,Vezel Hybrid Z Honda Sensing,2017,65000,Hybrid,1500,Automatic,Karachi,6625000.0
Suzuki,Mehran VXR Euro II,2017,64000,Petrol,800,Manual,Rawalpindi,1540000.0
DFSK,Glory 580 Pro,2021,25000,Petrol,1500,Automatic,Islamabad,5700000.0
Toyota,Yaris Sedan ATIV X CVT 1.5,2020,32000,Petrol,1500,Automatic,Karachi,4185000.0
Toyota,Corolla Altis Automatic 1.6,2018,230000,Petrol,1600,Automatic,Chiniot,3550000.0
Suzuki,Mehran VX Euro II,2018,73000,Petrol,796,Manual,Rahim Yar Khan,1326000.0
Suzuki,Alto VXL AGS,2022,42000,Petrol,660,Automatic,Faisalabad,2760000.0
Toyota,Corolla Altis 1.6 X CVT-i,2024,20000,Petrol,1600,Automatic,Lahore,6480000.0
Toyota,Hilux Revo G 2.8,2018,125000,Diesel,2800,Manual,Rawalpindi,9500000.0
Subaru,Pleo,2023,8500,Petrol,660,Automatic,Islamabad,3699000.0
Honda,BR-V i-VTEC S,2022,22500,Petrol,1500,Automatic,Rawalpindi,5550000.0
Suzuki,Wagon R Custom Z Hybrid ZT,2021,74000,Hybrid,660,Automatic,Rahwali,2925000.0
Toyota,Corolla Altis X Automatic 1.6,2021,39000,Petrol,1598,Automatic,Karachi,5400000.0
Honda,City 1.3 i-VTEC,2017,87800,Petrol,1300,Manual,Lahore,3600000.0
Suzuki,Wagon R AGS,2022,34000,Petrol,1000,Automatic,Lahore,3350000.0
MG,HS Trophy,2021,33000,Petrol,1500,Automatic,Karachi,6400000.0
Toyota,Raize Z,2020,44000,Petrol,1000,Automatic,Lahore,6250000.0
Mercedes,Benz E Class E200,2011,95398,Petrol,1800,Automatic,Lahore,10100000.0
Toyota,Raize Z,2020,39000,Petrol,1000,Automatic,Lahore,6150000.0
Toyota,Prado TX 2.7,2013,79302,Petrol,2700,Automatic,Lahore,15000000.0
Toyota,Prado TX Limited 2.7,2011,80000,Petrol,2700,Automatic,Lahore,16399999.0
Toyota,Prado TX 2.7,2011,90000,Petrol,2700,Automatic,Lahore,14600000.0
Hyundai,Sonata 2.5,2021,85000,Petrol,2500,Automatic,Lahore,8450000.0
Toyota,C-HR S-LED,2016,100000,Hybrid,1800,Automatic,Karachi,6500000.0
Honda,Accord CF3,2002,80000,Petrol,1800,Automatic,Karachi,2450000.0
Honda,Civic Reborn VTi 1.8 i-VTEC,2009,90000,Petrol,1800,Manual,Gujrat,2475000.0
Honda,Civic 7th Generation (Facelift) VTi Oriel UG Prosmatec 1.6,2006,150000,Petrol,1600,Automatic,Karachi,1639999.0
Daihatsu,Mira,2012,180000,Petrol,660,Automatic,Islamabad,2400000.0
Toyota,Corolla GLi 1.3 VVTi,2010,75000,Petrol,1300,Manual,Gujrat,2520000.0
Toyota,Prado TX Limited 2.7,2007,91156,Petrol,2700,Automatic,Lahore,9750000.0
Toyota,Corolla XLi VVTi,2010,127800,Petrol,1300,Manual,Karachi,2300000.0
Toyota,Vitz,2011,180000,Petrol,1000,Automatic,Mandi bahauddin,2630000.0
Daihatsu,Cuore CX Eco,2011,100000,Petrol,800,Manual,Multan,990000.0
Changan,Alsvin 1.5L DCT Comfort,2024,12000,Petrol,1500,Automatic,Mandi bahauddin,4150000.0
Suzuki,Mehran VXR Euro II,2019,78000,Petrol,796,Manual,Bahawalpur,1550000.0
Honda,City Aspire Prosmatec 1.5 i-VTEC,2017,135000,Petrol,1500,Automatic,Sialkot,3700000.0
Toyota,Corolla XLi VVTi,2018,110000,Petrol,1300,Manual,Multan,3850000.0
Honda,Civic VTi 1.6,2003,198000,Petrol,1600,Manual,Lahore,1500000.0
Honda,Vezel,2015,70000,Petrol,1500,Automatic,Lahore,550000.0
