,make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
190,Suzuki,Liana,2009,"84,000 km",Petrol,1300 cc,Manual,Lahore,1625000.0
191,Suzuki,Mehran,1996,"200,000 km",Petrol,800 cc,Manual,Rawalpindi,650000.0
192,Honda,Civic,2009,"90,000 km",Petrol,1800 cc,Automatic,Toba Tek Singh,2350000.0
193,,,2020,"45,000 km",Petrol,660 cc,Automatic,Karachi,3800000.0
194,Toyota,Duet,1999,"100,000 km",Petrol,1300 cc,Automatic,Islamabad,1000000.0
195,Toyota,Corolla,2011,"97,700 km",Petrol,1300 cc,Manual,Hassan abdal,2865000.0
196,Nissan,Juke,2010,"93,000 km",Petrol,1500 cc,Automatic,Multan,2978000.0
197,Toyota,Corolla,2016,220 km,Petrol,1300 cc,Manual,Kharian,3250000.0
198,Suzuki,Cultus,2010,"100,000 km",Petrol,1000 cc,Manual,Rawalpindi,1180000.0
199,Suzuki,Alto,2010,"140,000 km",Petrol,1000 cc,Manual,Haripur,1300000.0
200,Toyota,Corolla,2018,"45,798 km",Petrol,1300 cc,Manual,Islamabad,4700000.0
201,Honda,Civic,2021,"45,000 km",Petrol,1800 cc,Automatic,Islamabad,6280000.0
202,Toyota,Raize,2020,"90,000 km",Petrol,1000 cc,Automatic,Islamabad,5050000.0
203,Toyota,Fortuner,2019,"85,000 km",Diesel,2800 cc,Automatic,Islamabad,13300000.0
204,Chery,Tiggo 4 Pro,2022,"56,000 km",Petrol,1498 cc,Automatic,Islamabad,5180000.0
205,Suzuki,Alto,2023,"32,300 km",Petrol,660 cc,Manual,Multan,2680000.0
206,Honda,Civic,2018,"65,000 km",Petrol,998 cc,Manual,Islamabad,4179999.0
207,Honda,Civic 11th Generation,2024,"9,000 km",Petrol,1500 cc,Automatic,Islamabad,9850000.0
208,JAC,T9,2025,50 km,Diesel,2000 cc,Automatic,Islamabad,
209,Daihatsu,Cast,2021,"6,500 km",Petrol,660 cc,Automatic,Islamabad,3790000.0
210,Honda,Civic,2023,"33,000 km",Petrol,1500 cc,Automatic,Islamabad,7850000.0
211,Suzuki,Cultus,2005,"99,203 km",Petrol,1000 cc,Manual,Gujrat,925000.0
212,Toyota,Yaris Sedan,2022,80 km,Petrol,1500 cc,Automatic,Multan,5550000.0
213,BYD,Atto 3,2025,60 km,Electric,49.92 kWh,Automatic,Karachi,9650000.0
214,Toyota,Corolla,2020,"20,000 km",Hybrid,1800 cc,Automatic,Lahore,4000000.0
215,Toyota,Yaris Sedan,2020,"67,000 km",Petrol,1300 cc,Manual,Lahore,4500000.0
216,Suzuki,Alto,2025,10 km,Petrol,660 cc,Manual,Multan,2930000.0
217,Suzuki,Cultus,2008,"100,000 km",Petrol,1000 cc,Manual,Lahore,933000.0
218,,,2021,"27,444 km",Petrol,1500 cc,Automatic,Karachi,4400000.0
